Q1_gender,Q2_age,Q3_country,Q4_education,Q5_major,Q6_role,Q7_industry,Q8_experience,Q10_employer_uses_ml,Q17_primary_language,Q24_coding_experience,Q25_ml_experience,Q26_is_data_scientist,Q39_online_vs_trad,Q41_fairness_importance,Q43_bias_exploration,Q48_black_box_view,compensation_high
Male,25-29,Germany,Master's degree,Computer Science,Student,Healthcare,2-3 years,No,R,3-5 years,3-5 years,Yes,Slightly better,Very Important,25-49%,No,low
Male,22-24,India,Some college/no degree,Social Sciences,Data Analyst,Technology,0-1 years,I do not know,Python,10-20 years,3-5 years,Yes,Slightly better,Important,25-49%,No,low
Male,22-24,Germany,Bachelor's degree,Computer Science,Business Analyst,Healthcare,5-10 years,We are exploring ML methods,SQL,20+ years,3-5 years,No,Slightly worse,Somewhat Important,0%,No,high
Non-binary/third gender,18-21,United States,Master's degree,Other,Data Scientist,Technology,0-1 years,Yes,Python,3-5 years,1-2 years,Yes,Neither better nor worse,Important,0%,Somewhat,low
Male,40-44,United States,Bachelor's degree,Other,Data Analyst,Other,3-5 years,No,Python,1-2 years,3-5 years,Sort of,Slightly better,Not Important,0%,Yes,high
Male,25-29,Germany,Master's degree,Business,Machine Learning Engineer,Technology,5-10 years,We are exploring ML methods,Python,3-5 years,5-10 years,No,Slightly worse,Important,0%,No,high
Male,22-24,Other,Master's degree,Social Sciences,Research Scientist,Education/Research,5-10 years,No,SQL,< 1 year,3-5 years,Yes,Slightly better,Not Important,1-25%,No,high
Prefer not to say,35-39,Germany,Doctoral degree,Computer Science,Data Scientist,Technology,20+ years,We are exploring ML methods,R,10-20 years,3-5 years,No,Slightly better,Somewhat Important,75-100%,No,high
Male,25-29,Canada,Bachelor's degree,Mathematics/Statistics,Other,Technology,1-2 years,No,SQL,20+ years,10-20 years,Yes,Much better,Very Important,25-49%,No,low
Male,30-34,United States,Master's degree,Computer Science,Software Engineer,Finance,2-3 years,I do not know,R,5-10 years,3-5 years,Yes,Neither better nor worse,Very Important,25-49%,Somewhat,high
Male,22-24,India,Bachelor's degree,Computer Science,Software Engineer,Finance,2-3 years,Yes,Python,10-20 years,< 1 year,Sort of,Much better,Somewhat Important,1-25%,Yes,low
Male,50-54,India,Master's degree,Mathematics/Statistics,Data Analyst,Technology,5-10 years,Yes,Python,5-10 years,3-5 years,No,Slightly worse,Important,0%,No,low
Male,40-44,Other,Bachelor's degree,Computer Science,Data Analyst,Government,15-20 years,I do not know,Python,3-5 years,3-5 years,Yes,Slightly better,Very Important,0%,No,high
Female,40-44,Brazil,Some college/no degree,Other,Machine Learning Engineer,Technology,20+ years,Yes,Python,5-10 years,< 1 year,Yes,Slightly better,Not Important,1-25%,Somewhat,high
Male,25-29,United States,Bachelor's degree,Business,Software Engineer,Healthcare,15-20 years,Yes,Python,10-20 years,1-2 years,Yes,Slightly worse,No opinion,0%,No,high
Male,35-39,Other,Bachelor's degree,Engineering,Data Analyst,Finance,10-15 years,We are exploring ML methods,C/C++,10-20 years,3-5 years,Yes,Slightly worse,Somewhat Important,1-25%,No,high
Male,22-24,China,Doctoral degree,Engineering,Data Analyst,Education/Research,20+ years,No,SQL,1-2 years,3-5 years,Yes,Slightly better,Somewhat Important,0%,No,high
Male,18-21,United States,Master's degree,Engineering,Software Engineer,Technology,2-3 years,Yes,Python,5-10 years,5-10 years,Yes,Neither better nor worse,Very Important,0%,Somewhat,high
Male,18-21,Russia,Bachelor's degree,Business,Business Analyst,Education/Research,15-20 years,Yes,SQL,3-5 years,5-10 years,No,Neither better nor worse,Very Important,0%,No,low
Male,30-34,Other,Master's degree,Mathematics/Statistics,Student,Education/Research,5-10 years,No,R,10-20 years,< 1 year,Sort of,Neither better nor worse,Somewhat Important,0%,Yes,low
Male,25-29,Canada,Bachelor's degree,Computer Science,Data Analyst,Technology,1-2 years,We are exploring ML methods,Python,5-10 years,3-5 years,Yes,Neither better nor worse,Important,50-74%,Somewhat,low
Male,30-34,India,Professional degree,Engineering,Data Scientist,Technology,0-1 years,I do not know,Python,3-5 years,3-5 years,No,Slightly worse,Very Important,1-25%,Somewhat,low
Male,18-21,United States,Master's degree,Engineering,Business Analyst,Technology,1-2 years,No,Python,10-20 years,1-2 years,Yes,Slightly worse,Somewhat Important,1-25%,No,low
Male,25-29,India,Bachelor's degree,Other,Data Scientist,Technology,5-10 years,Yes,Python,5-10 years,< 1 year,Yes,Slightly worse,Important,1-25%,No,high
Male,35-39,United States,Master's degree,Computer Science,Software Engineer,Technology,5-10 years,We are exploring ML methods,Python,3-5 years,< 1 year,No,Slightly better,Somewhat Important,25-49%,Yes,high
Male,25-29,Australia,Bachelor's degree,Computer Science,Data Scientist,Technology,1-2 years,No,JavaScript,10-20 years,< 1 year,Sort of,Slightly better,Important,25-49%,Somewhat,low
Male,35-39,United States,Doctoral degree,Business,Data Scientist,Education/Research,5-10 years,Yes,Python,1-2 years,5-10 years,Yes,Much better,Very Important,75-100%,Yes,high
Male,25-29,China,Some college/no degree,Business,Student,Technology,1-2 years,Yes,C/C++,< 1 year,< 1 year,No,Slightly worse,Somewhat Important,0%,No,low
Female,40-44,Other,Some college/no degree,Social Sciences,Research Scientist,Technology,10-15 years,Yes,Python,1-2 years,1-2 years,Sort of,Much better,Somewhat Important,25-49%,Somewhat,high
Female,30-34,India,Bachelor's degree,Engineering,Other,Technology,5-10 years,We are exploring ML methods,Python,1-2 years,1-2 years,No,Much better,Very Important,75-100%,No,low
Male,22-24,United States,Bachelor's degree,Mathematics/Statistics,Software Engineer,Education/Research,20+ years,I do not know,Java,5-10 years,3-5 years,Yes,Slightly worse,Not Important,0%,No,high
Male,25-29,Other,Bachelor's degree,Mathematics/Statistics,Data Analyst,Technology,1-2 years,Yes,Python,5-10 years,< 1 year,Yes,Much better,Very Important,1-25%,Somewhat,low
Male,30-34,Other,Master's degree,Computer Science,Other,Education/Research,15-20 years,Yes,Java,3-5 years,< 1 year,Sort of,Much better,Important,1-25%,Somewhat,high
Male,40-44,United States,Master's degree,Mathematics/Statistics,Student,Healthcare,2-3 years,Yes,Python,1-2 years,1-2 years,Yes,Slightly worse,Important,25-49%,Yes,high
Male,25-29,United Kingdom,Master's degree,Computer Science,Machine Learning Engineer,Education/Research,2-3 years,Yes,Java,1-2 years,1-2 years,No,Slightly better,Important,0%,Yes,high
Male,25-29,United States,Some college/no degree,Engineering,Data Scientist,Technology,3-5 years,Yes,Python,5-10 years,1-2 years,Yes,Slightly worse,Important,1-25%,No,high
Male,40-44,India,Bachelor's degree,Business,Machine Learning Engineer,Education/Research,5-10 years,Yes,Python,5-10 years,5-10 years,No,Slightly better,Somewhat Important,50-74%,No,high
Male,30-34,Other,Bachelor's degree,Engineering,Software Engineer,Technology,20+ years,We are exploring ML methods,R,3-5 years,< 1 year,Yes,Slightly better,Somewhat Important,0%,No,high
Male,25-29,United States,Bachelor's degree,Business,Data Analyst,Government,3-5 years,We are exploring ML methods,SQL,3-5 years,< 1 year,No,Much better,No opinion,0%,No,high
Male,30-34,United Kingdom,Bachelor's degree,Computer Science,Research Scientist,Healthcare,15-20 years,Yes,Python,1-2 years,1-2 years,Yes,Slightly worse,Not Important,75-100%,No,high
Male,22-24,India,Bachelor's degree,Engineering,Research Scientist,Finance,1-2 years,Yes,Other,< 1 year,5-10 years,No,Neither better nor worse,No opinion,25-49%,No,low
Male,30-34,United States,Master's degree,Mathematics/Statistics,Machine Learning Engineer,Other,2-3 years,I do not know,R,1-2 years,< 1 year,Yes,Slightly better,Important,25-49%,Yes,high
Male,25-29,India,Bachelor's degree,Natural Sciences,Machine Learning Engineer,Education/Research,3-5 years,Yes,Python,10-20 years,20+ years,Yes,Neither better nor worse,Important,1-25%,Yes,high
Male,60+,Other,Bachelor's degree,Engineering,Data Scientist,Technology,2-3 years,Yes,Python,3-5 years,5-10 years,No,Much better,Very Important,50-74%,No,low
Female,30-34,Other,Doctoral degree,Business,Data Analyst,Technology,20+ years,Yes,Python,< 1 year,1-2 years,Sort of,Neither better nor worse,Very Important,50-74%,No,high
Male,30-34,China,Bachelor's degree,Computer Science,Machine Learning Engineer,Education/Research,5-10 years,Yes,Python,5-10 years,5-10 years,Sort of,Slightly better,Very Important,25-49%,No,high
Male,30-34,United States,Master's degree,Business,Software Engineer,Government,3-5 years,Yes,Python,5-10 years,3-5 years,Yes,Slightly worse,Somewhat Important,1-25%,No,high
Male,45-49,United States,Bachelor's degree,Computer Science,Software Engineer,Government,5-10 years,We are exploring ML methods,SQL,3-5 years,3-5 years,No,Neither better nor worse,Somewhat Important,1-25%,No,high
Male,40-44,Russia,Master's degree,Business,Data Scientist,Education/Research,3-5 years,Yes,R,1-2 years,3-5 years,No,Slightly worse,Important,0%,Somewhat,high
Male,25-29,United States,Some college/no degree,Engineering,Data Analyst,Finance,0-1 years,Yes,Python,10-20 years,3-5 years,No,Neither better nor worse,Not Important,0%,Yes,low
Male,35-39,Germany,Bachelor's degree,Social Sciences,Other,Education/Research,3-5 years,Yes,Python,5-10 years,< 1 year,No,Neither better nor worse,Important,25-49%,No,low
Female,30-34,United States,Master's degree,Mathematics/Statistics,Software Engineer,Healthcare,5-10 years,Yes,JavaScript,3-5 years,3-5 years,Sort of,Neither better nor worse,Very Important,0%,No,high
Female,30-34,Russia,Doctoral degree,Computer Science,Data Analyst,Finance,20+ years,No,Python,3-5 years,3-5 years,Yes,Neither better nor worse,Very Important,0%,Somewhat,high
Male,22-24,India,Master's degree,Business,Machine Learning Engineer,Finance,0-1 years,I do not know,Python,1-2 years,1-2 years,Sort of,Much better,Very Important,1-25%,No,low
Male,25-29,Other,Bachelor's degree,Computer Science,Data Scientist,Healthcare,3-5 years,Yes,R,10-20 years,20+ years,Yes,Neither better nor worse,Very Important,0%,No,high
Male,25-29,United States,Master's degree,Computer Science,Business Analyst,Government,0-1 years,We are exploring ML methods,SQL,5-10 years,< 1 year,Sort of,Neither better nor worse,Not Important,0%,Yes,low
Male,45-49,United States,Master's degree,Social Sciences,Software Engineer,Retail/E-Commerce,1-2 years,I do not know,Other,1-2 years,10-20 years,Sort of,Slightly better,Somewhat Important,1-25%,Yes,high
Female,25-29,United States,Some college/no degree,Computer Science,Student,Technology,5-10 years,I do not know,Other,3-5 years,3-5 years,No,Much better,Very Important,1-25%,No,low
Male,50-54,United States,Bachelor's degree,Computer Science,Data Scientist,Technology,1-2 years,Yes,Java,20+ years,3-5 years,Sort of,Much better,Very Important,0%,No,low
Male,30-34,United States,Bachelor's degree,Engineering,Data Scientist,Retail/E-Commerce,5-10 years,Yes,Python,3-5 years,5-10 years,No,Neither better nor worse,Somewhat Important,1-25%,No,high
Male,30-34,Other,Bachelor's degree,Social Sciences,Software Engineer,Retail/E-Commerce,3-5 years,No,Python,3-5 years,5-10 years,No,Slightly better,Not Important,1-25%,Somewhat,high
Male,30-34,Other,Bachelor's degree,Computer Science,Software Engineer,Finance,1-2 years,Yes,R,5-10 years,1-2 years,Sort of,Slightly better,Important,0%,Somewhat,low
Male,22-24,Brazil,Bachelor's degree,Mathematics/Statistics,Student,Education/Research,3-5 years,Yes,Python,1-2 years,3-5 years,Yes,Slightly better,Important,50-74%,Yes,low
Male,25-29,Other,Bachelor's degree,Natural Sciences,Data Scientist,Government,0-1 years,We are exploring ML methods,Python,5-10 years,< 1 year,Sort of,Much better,Not Important,0%,Yes,low
Male,22-24,Other,Bachelor's degree,Social Sciences,Research Scientist,Other,10-15 years,I do not know,Python,5-10 years,1-2 years,Yes,Much better,Somewhat Important,1-25%,Somewhat,high
Female,30-34,India,Bachelor's degree,Business,Data Scientist,Retail/E-Commerce,0-1 years,Yes,Python,10-20 years,10-20 years,No,Slightly worse,Not Important,1-25%,No,low
Female,25-29,India,Some college/no degree,Natural Sciences,Student,Technology,0-1 years,We are exploring ML methods,Python,5-10 years,1-2 years,Yes,Slightly better,Very Important,0%,Somewhat,low
Male,35-39,India,Bachelor's degree,Mathematics/Statistics,Student,Healthcare,5-10 years,No,Python,3-5 years,< 1 year,Yes,Neither better nor worse,Somewhat Important,0%,Somewhat,low
Male,22-24,Russia,Bachelor's degree,Engineering,Data Analyst,Technology,20+ years,Yes,Python,10-20 years,3-5 years,No,Slightly worse,Very Important,50-74%,Yes,high
Male,22-24,United States,Bachelor's degree,Computer Science,Data Scientist,Government,10-15 years,Yes,C/C++,10-20 years,1-2 years,Yes,Much worse,Somewhat Important,1-25%,No,high
Male,25-29,United States,Some college/no degree,Natural Sciences,Research Scientist,Technology,1-2 years,Yes,R,5-10 years,1-2 years,Sort of,Neither better nor worse,Important,1-25%,Yes,high
Male,45-49,Other,Doctoral degree,Other,Data Scientist,Education/Research,1-2 years,Yes,JavaScript,< 1 year,3-5 years,Yes,Much worse,Somewhat Important,25-49%,No,low
Male,35-39,United States,Doctoral degree,Natural Sciences,Data Scientist,Education/Research,5-10 years,Yes,Python,10-20 years,3-5 years,Yes,Slightly better,Very Important,0%,Somewhat,high
Male,25-29,Germany,Bachelor's degree,Computer Science,Research Scientist,Healthcare,10-15 years,Yes,Python,1-2 years,1-2 years,Sort of,Neither better nor worse,Somewhat Important,25-49%,No,high
Male,30-34,Germany,Doctoral degree,Engineering,Other,Education/Research,2-3 years,Yes,Python,1-2 years,3-5 years,Sort of,Slightly worse,Somewhat Important,1-25%,Yes,low
Male,22-24,United States,Master's degree,Mathematics/Statistics,Student,Technology,3-5 years,Yes,R,3-5 years,20+ years,No,Much better,Not Important,1-25%,Yes,low
Male,55-59,United States,Bachelor's degree,Mathematics/Statistics,Research Scientist,Healthcare,0-1 years,Yes,C/C++,3-5 years,10-20 years,Yes,Slightly better,Somewhat Important,25-49%,Yes,low
Female,30-34,India,Master's degree,Natural Sciences,Data Analyst,Finance,1-2 years,Yes,Python,10-20 years,3-5 years,Sort of,Neither better nor worse,Important,1-25%,No,low
Male,25-29,Other,Doctoral degree,Mathematics/Statistics,Other,Technology,3-5 years,Yes,Java,3-5 years,< 1 year,Yes,Slightly better,Somewhat Important,0%,No,low
Male,30-34,United States,Doctoral degree,Computer Science,Data Analyst,Other,0-1 years,Yes,Python,< 1 year,1-2 years,Sort of,Much better,Important,25-49%,No,low
Female,22-24,China,Some college/no degree,Business,Data Analyst,Education/Research,1-2 years,No,Python,5-10 years,5-10 years,No,Slightly worse,Somewhat Important,25-49%,Somewhat,low
Male,50-54,Other,Some college/no degree,Mathematics/Statistics,Business Analyst,Healthcare,1-2 years,Yes,R,5-10 years,1-2 years,Sort of,Slightly better,Somewhat Important,1-25%,No,low
Female,22-24,India,Bachelor's degree,Computer Science,Software Engineer,Education/Research,3-5 years,Yes,Python,10-20 years,10-20 years,No,Slightly better,Important,1-25%,Yes,low
Female,30-34,United States,Master's degree,Engineering,Data Scientist,Healthcare,0-1 years,We are exploring ML methods,Python,3-5 years,3-5 years,No,Slightly worse,No opinion,0%,Yes,low
Male,25-29,China,Bachelor's degree,Business,Research Scientist,Healthcare,3-5 years,Yes,Python,1-2 years,5-10 years,No,Slightly better,Important,1-25%,Somewhat,high
Male,35-39,United States,Some college/no degree,Business,Data Scientist,Education/Research,15-20 years,Yes,SQL,5-10 years,< 1 year,No,Slightly worse,Very Important,50-74%,Yes,high
Male,35-39,Russia,Bachelor's degree,Engineering,Software Engineer,Other,0-1 years,Yes,Python,1-2 years,1-2 years,Yes,Slightly better,Important,25-49%,Yes,low
Male,30-34,India,Doctoral degree,Computer Science,Data Analyst,Finance,5-10 years,No,Python,< 1 year,3-5 years,Yes,Slightly worse,Very Important,25-49%,Yes,high
Male,30-34,Other,Bachelor's degree,Computer Science,Data Analyst,Healthcare,10-15 years,We are exploring ML methods,JavaScript,10-20 years,5-10 years,Yes,Slightly worse,Important,50-74%,No,high
Male,45-49,Germany,Master's degree,Computer Science,Other,Retail/E-Commerce,2-3 years,Yes,Python,3-5 years,3-5 years,No,Slightly better,Very Important,0%,Somewhat,low
Male,18-21,Germany,Bachelor's degree,Mathematics/Statistics,Software Engineer,Finance,1-2 years,Yes,Python,5-10 years,< 1 year,No,Slightly worse,Important,1-25%,No,low
Female,25-29,India,Bachelor's degree,Mathematics/Statistics,Software Engineer,Finance,0-1 years,No,Python,5-10 years,5-10 years,No,Neither better nor worse,Somewhat Important,1-25%,No,low
Prefer not to say,25-29,United States,Some college/no degree,Mathematics/Statistics,Data Scientist,Other,5-10 years,Yes,Java,3-5 years,3-5 years,Sort of,Slightly better,Very Important,1-25%,Somewhat,high
Male,55-59,Brazil,Bachelor's degree,Natural Sciences,Research Scientist,Technology,3-5 years,We are exploring ML methods,Python,< 1 year,< 1 year,No,Neither better nor worse,Important,0%,Somewhat,low
Male,25-29,India,Master's degree,Computer Science,Machine Learning Engineer,Technology,1-2 years,Yes,R,3-5 years,1-2 years,Yes,Much better,Very Important,1-25%,Yes,low
Male,35-39,United States,Bachelor's degree,Computer Science,Data Analyst,Finance,10-15 years,Yes,Other,1-2 years,3-5 years,Yes,Slightly worse,Not Important,0%,No,high
Male,35-39,United Kingdom,Master's degree,Engineering,Software Engineer,Technology,5-10 years,Yes,SQL,20+ years,1-2 years,Yes,Slightly better,No opinion,25-49%,Somewhat,high
Female,22-24,United States,Bachelor's degree,Computer Science,Research Scientist,Government,2-3 years,Yes,Python,10-20 years,5-10 years,Yes,Slightly better,Important,75-100%,Somewhat,low
Male,25-29,United States,Bachelor's degree,Computer Science,Data Analyst,Technology,5-10 years,Yes,SQL,3-5 years,1-2 years,Yes,Neither better nor worse,Somewhat Important,0%,Somewhat,high
Male,25-29,United States,Some college/no degree,Mathematics/Statistics,Data Scientist,Technology,1-2 years,No,SQL,< 1 year,3-5 years,No,Slightly better,Important,1-25%,Yes,low
Male,25-29,Other,Master's degree,Social Sciences,Data Analyst,Retail/E-Commerce,5-10 years,Yes,Python,1-2 years,1-2 years,Yes,Neither better nor worse,Important,25-49%,Yes,low
Male,25-29,Other,Bachelor's degree,Natural Sciences,Data Analyst,Technology,0-1 years,Yes,Python,10-20 years,3-5 years,Yes,Slightly better,Very Important,0%,No,low
Male,18-21,United States,Master's degree,Social Sciences,Other,Education/Research,5-10 years,Yes,R,20+ years,1-2 years,Sort of,Neither better nor worse,Somewhat Important,0%,Yes,low
Female,40-44,India,Bachelor's degree,Mathematics/Statistics,Student,Retail/E-Commerce,1-2 years,I do not know,Python,< 1 year,1-2 years,Sort of,Slightly better,Important,25-49%,Yes,low
Male,50-54,India,Bachelor's degree,Natural Sciences,Machine Learning Engineer,Retail/E-Commerce,3-5 years,Yes,Python,20+ years,1-2 years,No,Slightly worse,No opinion,25-49%,No,low
Male,25-29,China,Master's degree,Computer Science,Student,Retail/E-Commerce,1-2 years,Yes,R,3-5 years,< 1 year,Yes,Neither better nor worse,No opinion,1-25%,No,low
Male,25-29,United States,Bachelor's degree,Other,Machine Learning Engineer,Technology,5-10 years,Yes,Java,1-2 years,< 1 year,Sort of,Slightly better,Very Important,75-100%,Yes,high
Female,18-21,United Kingdom,Master's degree,Computer Science,Business Analyst,Technology,0-1 years,Yes,Python,1-2 years,1-2 years,No,Much better,Important,75-100%,Yes,low
Female,35-39,United States,Master's degree,Computer Science,Data Scientist,Technology,1-2 years,We are exploring ML methods,Python,10-20 years,< 1 year,Yes,Neither better nor worse,Important,50-74%,Yes,low
Male,40-44,Australia,Doctoral degree,Computer Science,Data Analyst,Technology,1-2 years,Yes,R,5-10 years,< 1 year,No,Slightly better,Not Important,0%,Yes,low
Male,22-24,United States,Some college/no degree,Other,Machine Learning Engineer,Education/Research,0-1 years,Yes,R,10-20 years,10-20 years,Yes,Slightly worse,Somewhat Important,0%,Somewhat,low
Male,22-24,Brazil,Bachelor's degree,Other,Research Scientist,Finance,5-10 years,We are exploring ML methods,Other,3-5 years,1-2 years,Sort of,Slightly better,Somewhat Important,50-74%,Somewhat,high
Male,35-39,United States,Bachelor's degree,Natural Sciences,Data Scientist,Education/Research,20+ years,Yes,R,5-10 years,1-2 years,Sort of,Slightly worse,Somewhat Important,25-49%,No,high
Female,30-34,United States,Bachelor's degree,Mathematics/Statistics,Software Engineer,Technology,5-10 years,I do not know,R,1-2 years,1-2 years,Yes,Neither better nor worse,Important,1-25%,Somewhat,high
Male,18-21,Germany,Bachelor's degree,Mathematics/Statistics,Software Engineer,Finance,10-15 years,No,Other,1-2 years,3-5 years,No,Slightly better,No opinion,1-25%,No,high
Male,30-34,Germany,Doctoral degree,Other,Software Engineer,Technology,0-1 years,Yes,Python,1-2 years,3-5 years,Yes,Slightly worse,Very Important,50-74%,Somewhat,low
Male,25-29,India,Doctoral degree,Mathematics/Statistics,Software Engineer,Technology,0-1 years,Yes,Python,10-20 years,1-2 years,Sort of,Slightly worse,Very Important,0%,Yes,low
Male,25-29,China,Master's degree,Business,Data Analyst,Education/Research,3-5 years,We are exploring ML methods,Python,5-10 years,1-2 years,Yes,Neither better nor worse,Important,75-100%,Yes,low
Male,35-39,Other,Master's degree,Engineering,Student,Education/Research,20+ years,Yes,Python,1-2 years,3-5 years,Yes,Much better,Very Important,1-25%,Yes,high
Male,40-44,Germany,Bachelor's degree,Engineering,Machine Learning Engineer,Retail/E-Commerce,5-10 years,Yes,Python,3-5 years,10-20 years,Yes,Slightly better,Important,25-49%,Yes,high
Male,25-29,United States,Master's degree,Social Sciences,Student,Government,2-3 years,Yes,Python,10-20 years,5-10 years,Yes,Neither better nor worse,Very Important,1-25%,Yes,low
Male,50-54,Other,Doctoral degree,Computer Science,Student,Healthcare,1-2 years,Yes,R,3-5 years,< 1 year,Sort of,Slightly better,Important,1-25%,Somewhat,low
Male,25-29,India,Master's degree,Business,Data Analyst,Healthcare,1-2 years,Yes,Java,20+ years,3-5 years,Sort of,Neither better nor worse,Important,25-49%,Yes,low
Male,35-39,India,Bachelor's degree,Engineering,Software Engineer,Technology,2-3 years,Yes,Python,20+ years,< 1 year,Yes,Neither better nor worse,Very Important,1-25%,No,low
Male,30-34,Germany,Master's degree,Business,Data Scientist,Technology,5-10 years,Yes,Python,5-10 years,3-5 years,Yes,Neither better nor worse,Important,1-25%,Somewhat,high
Male,45-49,United States,Master's degree,Engineering,Business Analyst,Retail/E-Commerce,0-1 years,No,Python,5-10 years,1-2 years,No,Neither better nor worse,Not Important,1-25%,No,low
Male,45-49,United States,Master's degree,Natural Sciences,Data Scientist,Technology,10-15 years,Yes,R,5-10 years,3-5 years,Sort of,Slightly better,Somewhat Important,0%,Yes,high
Male,22-24,Other,Master's degree,Engineering,Machine Learning Engineer,Finance,15-20 years,Yes,Python,3-5 years,3-5 years,Yes,Slightly better,Very Important,50-74%,Yes,high
Male,50-54,Other,Master's degree,Mathematics/Statistics,Software Engineer,Technology,10-15 years,Yes,JavaScript,3-5 years,5-10 years,No,Neither better nor worse,Important,50-74%,Somewhat,high
Male,40-44,United States,Master's degree,Engineering,Business Analyst,Technology,15-20 years,Yes,Python,1-2 years,3-5 years,Yes,Slightly better,No opinion,0%,No,high
Male,35-39,India,Some college/no degree,Other,Data Analyst,Healthcare,0-1 years,Yes,Python,20+ years,< 1 year,Yes,Slightly better,Important,50-74%,Somewhat,low
Female,22-24,Canada,Bachelor's degree,Mathematics/Statistics,Student,Technology,20+ years,Yes,Python,10-20 years,3-5 years,Sort of,Much better,Important,25-49%,No,high
Male,40-44,United States,Some college/no degree,Computer Science,Software Engineer,Finance,2-3 years,Yes,Python,< 1 year,5-10 years,No,Slightly better,No opinion,1-25%,Yes,high
Male,40-44,Other,Master's degree,Business,Software Engineer,Technology,10-15 years,I do not know,C/C++,5-10 years,< 1 year,No,Neither better nor worse,Very Important,0%,No,high
Male,25-29,China,Master's degree,Computer Science,Research Scientist,Education/Research,1-2 years,Yes,Java,3-5 years,1-2 years,Sort of,Neither better nor worse,Somewhat Important,1-25%,Yes,low
Male,50-54,India,Doctoral degree,Engineering,Other,Healthcare,3-5 years,Yes,Python,10-20 years,5-10 years,Sort of,Much better,Important,1-25%,Somewhat,low
Male,18-21,Canada,Master's degree,Computer Science,Data Analyst,Finance,0-1 years,We are exploring ML methods,SQL,3-5 years,3-5 years,Yes,Neither better nor worse,Not Important,1-25%,No,low
Male,22-24,China,Doctoral degree,Business,Business Analyst,Retail/E-Commerce,0-1 years,Yes,Python,5-10 years,3-5 years,No,Slightly better,Very Important,1-25%,Somewhat,low
Male,30-34,India,Bachelor's degree,Computer Science,Student,Technology,15-20 years,Yes,Python,1-2 years,3-5 years,Sort of,Neither better nor worse,No opinion,0%,No,low
Male,30-34,Other,Bachelor's degree,Computer Science,Student,Healthcare,10-15 years,We are exploring ML methods,C/C++,5-10 years,20+ years,No,Slightly worse,Somewhat Important,25-49%,No,low
Male,30-34,China,Master's degree,Business,Data Analyst,Healthcare,3-5 years,Yes,Python,3-5 years,10-20 years,No,Slightly better,Important,1-25%,No,low
Male,18-21,Other,Some college/no degree,Social Sciences,Software Engineer,Other,3-5 years,We are exploring ML methods,Python,1-2 years,1-2 years,Yes,Slightly better,Somewhat Important,75-100%,Somewhat,low
Male,50-54,Germany,Some college/no degree,Computer Science,Data Scientist,Technology,5-10 years,Yes,Python,5-10 years,1-2 years,Yes,Neither better nor worse,No opinion,0%,Yes,high
Male,18-21,India,Master's degree,Natural Sciences,Other,Technology,2-3 years,I do not know,Python,5-10 years,1-2 years,Yes,Slightly worse,Very Important,0%,No,low
Male,22-24,United States,Master's degree,Business,Other,Technology,5-10 years,Yes,Python,20+ years,< 1 year,No,Slightly better,Not Important,1-25%,No,high
Male,18-21,United States,Bachelor's degree,Computer Science,Machine Learning Engineer,Technology,3-5 years,We are exploring ML methods,SQL,5-10 years,1-2 years,Yes,Slightly better,Important,0%,No,high
Male,30-34,United States,Professional degree,Social Sciences,Software Engineer,Technology,5-10 years,No,Python,5-10 years,5-10 years,Sort of,Slightly worse,Very Important,1-25%,No,high
Male,50-54,United States,Bachelor's degree,Mathematics/Statistics,Software Engineer,Technology,20+ years,Yes,Python,20+ years,5-10 years,No,Slightly better,Very Important,0%,Yes,high
Male,30-34,Germany,Doctoral degree,Mathematics/Statistics,Other,Finance,3-5 years,I do not know,Python,10-20 years,5-10 years,No,Slightly better,Not Important,1-25%,Yes,low
Female,40-44,China,Master's degree,Engineering,Data Scientist,Government,2-3 years,Yes,Python,5-10 years,< 1 year,No,Neither better nor worse,No opinion,1-25%,Somewhat,low
Female,18-21,Other,Master's degree,Mathematics/Statistics,Student,Technology,15-20 years,I do not know,SQL,5-10 years,5-10 years,No,Slightly better,Not Important,1-25%,Somewhat,low
Male,30-34,Other,Master's degree,Computer Science,Software Engineer,Other,15-20 years,No,Java,20+ years,3-5 years,Sort of,Neither better nor worse,Important,0%,No,high
Male,25-29,Russia,Some college/no degree,Natural Sciences,Data Analyst,Retail/E-Commerce,20+ years,I do not know,Other,5-10 years,1-2 years,Sort of,Neither better nor worse,No opinion,25-49%,Somewhat,high
Male,30-34,India,Master's degree,Computer Science,Student,Government,3-5 years,Yes,Python,10-20 years,3-5 years,Yes,Much worse,Important,50-74%,No,low
Male,18-21,Germany,Some college/no degree,Engineering,Data Scientist,Other,2-3 years,We are exploring ML methods,Other,1-2 years,5-10 years,Yes,Slightly better,Very Important,0%,Somewhat,low
Male,35-39,India,Bachelor's degree,Computer Science,Software Engineer,Healthcare,1-2 years,No,Python,10-20 years,1-2 years,Sort of,Neither better nor worse,Important,25-49%,No,low
Female,30-34,United Kingdom,Master's degree,Social Sciences,Other,Retail/E-Commerce,0-1 years,Yes,Python,3-5 years,20+ years,No,Neither better nor worse,No opinion,1-25%,Yes,low
Male,35-39,China,Master's degree,Engineering,Machine Learning Engineer,Finance,5-10 years,Yes,SQL,1-2 years,3-5 years,No,Slightly worse,Somewhat Important,1-25%,Somewhat,high
